player_id,player_name,player_url,position,year,team,games_played,snap_count,snap_percent,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
9900442,Kareem Hunt,https://dynastyleaguefootball.com/player/9900442/Kareem_Hunt,RB,2020,CLE,16,548,51.6,198,841,6,51,38,304,5,0
9900442,Kareem Hunt,https://dynastyleaguefootball.com/player/9900442/Kareem_Hunt,RB,2021,CLE,8,234,44.2,78,386,5,27,22,172,0,0
9900442,Kareem Hunt,https://dynastyleaguefootball.com/player/9900442/Kareem_Hunt,RB,2022,CLE,16,476,42.9,119,455,3,40,32,195,1,0
9993970,Pierre Strong,https://dynastyleaguefootball.com/player/9993970/Pierre_Strong,RB,2022,NE,7,50,11.6,10,100,1,7,7,42,0,0
9992235,Ty Chandler,https://dynastyleaguefootball.com/player/9992235/Ty_Chandler,RB,,,0,-,-,0,0,0,0,0,0,0,0
17217,Raheem Mostert,https://dynastyleaguefootball.com/player/17217/Raheem_Mostert,RB,2015,CLE,1,0,0.0,0,0,0,0,0,0,0,1
17217,Raheem Mostert,https://dynastyleaguefootball.com/player/17217/Raheem_Mostert,RB,2016,SF,1,4,6.6,1,6,0,0,0,0,0,0
17217,Raheem Mostert,https://dynastyleaguefootball.com/player/17217/Raheem_Mostert,RB,2017,SF,4,13,4.5,6,30,0,0,0,0,0,1
17217,Raheem Mostert,https://dynastyleaguefootball.com/player/17217/Raheem_Mostert,RB,2018,SF,6,87,21.6,34,261,1,7,6,25,0,1
17217,Raheem Mostert,https://dynastyleaguefootball.com/player/17217/Raheem_Mostert,RB,2019,SF,15,370,36.2,137,772,8,22,14,180,2,1
17217,Raheem Mostert,https://dynastyleaguefootball.com/player/17217/Raheem_Mostert,RB,2020,SF,8,237,42.5,104,521,2,19,16,156,1,1
17217,Raheem Mostert,https://dynastyleaguefootball.com/player/17217/Raheem_Mostert,RB,2021,SF,1,4,7.0,2,20,0,0,0,0,0,0
17217,Raheem Mostert,https://dynastyleaguefootball.com/player/17217/Raheem_Mostert,RB,2022,MIA,15,528,57.6,170,820,3,40,29,212,2,1
9993368,James Robinson,https://dynastyleaguefootball.com/player/9993368/James_Robinson,RB,2020,JAC,14,641,69.9,240,1070,7,60,49,344,3,1
9993368,James Robinson,https://dynastyleaguefootball.com/player/9993368/James_Robinson,RB,2021,JAC,14,530,58.8,164,767,8,46,31,222,0,2
9993368,James Robinson,https://dynastyleaguefootball.com/player/9993368/James_Robinson,RB,2022,NYJ,11,271,37.3,110,425,3,14,11,51,2,0
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2013,MIN,16,436,41.9,12,158,3,77,45,469,4,0
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2014,MIN,16,566,55.3,10,117,1,67,33,384,1,1
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2015,MIN,5,35,11.8,2,15,0,2,2,10,0,1
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2016,MIN,16,531,50.5,7,43,0,70,52,453,2,0
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2017,OAK,16,431,42.5,13,121,2,42,31,305,0,0
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2018,NE,15,230,21.9,42,228,1,28,21,247,3,1
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2019,CHI,16,203,18.6,17,103,0,17,11,83,0,0
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2020,CHI,16,201,18.8,63,231,1,25,21,132,0,0
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2021,ATL,15,455,47.8,149,607,6,67,51,547,5,0
15150,Cordarrelle Patterson,https://dynastyleaguefootball.com/player/15150/Cordarrelle_Patterson,RB,2022,ATL,12,363,48.7,139,677,7,28,19,121,0,1
9900092,Leonard Fournette,https://dynastyleaguefootball.com/player/9900092/Leonard_Fournette,RB,2017,JAC,13,564,61.8,268,1040,9,48,36,302,1,0
9900092,Leonard Fournette,https://dynastyleaguefootball.com/player/9900092/Leonard_Fournette,RB,2018,JAC,8,280,51.5,133,439,5,26,22,185,1,0
9900092,Leonard Fournette,https://dynastyleaguefootball.com/player/9900092/Leonard_Fournette,RB,2019,JAC,15,918,88.4,265,1152,3,100,76,522,0,1
9900092,Leonard Fournette,https://dynastyleaguefootball.com/player/9900092/Leonard_Fournette,RB,2020,TB,13,383,43.4,97,367,6,47,36,233,0,0
9900092,Leonard Fournette,https://dynastyleaguefootball.com/player/9900092/Leonard_Fournette,RB,2021,TB,14,623,63.5,180,811,8,84,69,454,2,0
9900092,Leonard Fournette,https://dynastyleaguefootball.com/player/9900092/Leonard_Fournette,RB,2022,TB,15,686,62.8,189,668,3,82,72,519,3,0
16510,Jerick McKinnon,https://dynastyleaguefootball.com/player/16510/Jerick_McKinnon,RB,2014,MIN,11,331,45.7,113,538,0,41,27,135,0,0
16510,Jerick McKinnon,https://dynastyleaguefootball.com/player/16510/Jerick_McKinnon,RB,2015,MIN,16,160,15.7,52,271,2,29,21,173,1,0
16510,Jerick McKinnon,https://dynastyleaguefootball.com/player/16510/Jerick_McKinnon,RB,2016,MIN,15,511,51.6,159,539,2,53,43,255,2,0
16510,Jerick McKinnon,https://dynastyleaguefootball.com/player/16510/Jerick_McKinnon,RB,2017,MIN,16,527,47.2,151,570,3,68,51,421,2,2
16510,Jerick McKinnon,https://dynastyleaguefootball.com/player/16510/Jerick_McKinnon,RB,2020,SF,15,372,36.7,81,319,5,46,33,253,1,0
16510,Jerick McKinnon,https://dynastyleaguefootball.com/player/16510/Jerick_McKinnon,RB,2021,KC,11,149,19.0,7,38,0,17,10,72,0,0
16510,Jerick McKinnon,https://dynastyleaguefootball.com/player/16510/Jerick_McKinnon,RB,2022,KC,16,513,47.1,70,285,1,68,54,512,8,1
9992515,Keaontay Ingram,https://dynastyleaguefootball.com/player/9992515/Keaontay_Ingram,RB,2022,ARI,10,85,12.2,24,55,1,2,2,23,0,0
9992788,Joshua Kelley,https://dynastyleaguefootball.com/player/9992788/Joshua_Kelley,RB,2020,LAC,14,297,28.5,111,354,2,24,23,148,0,2
9992788,Joshua Kelley,https://dynastyleaguefootball.com/player/9992788/Joshua_Kelley,RB,2021,LAC,10,139,20.4,33,102,0,6,5,38,0,1
9992788,Joshua Kelley,https://dynastyleaguefootball.com/player/9992788/Joshua_Kelley,RB,2022,LAC,12,233,27.1,64,269,2,21,13,95,0,0
9992437,Chase Edmonds,https://dynastyleaguefootball.com/player/9992437/Chase_Edmonds,RB,2018,ARI,16,198,21.0,60,208,2,23,20,103,0,0
9992437,Chase Edmonds,https://dynastyleaguefootball.com/player/9992437/Chase_Edmonds,RB,2019,ARI,10,209,31.0,60,303,4,21,12,105,1,0
9992437,Chase Edmonds,https://dynastyleaguefootball.com/player/9992437/Chase_Edmonds,RB,2020,ARI,16,525,46.5,97,448,1,68,53,402,4,0
